,ITEM NAME ,CATEGORY,UOM,QTY,TOTAL COST,UNIT PRICE,RETAIL,WHOLESALE,EXPIRY DATE,SUPPLIER
38270055,PET WATER FEEDER,SUPPLY AND ACCESSORIES,PIECES,4,360,90,190,,,
6973832027894,PETCARE - PET WIPES,SUPPLY AND ACCESSORIES,PIECES,15,222,14.8,100,,,
84152329,PHYTOMENADIONE INJECTABLE,CLINIC/LAB/MEDS,SERVICING,,400,40,130,,1 Dec 2027,I - PROTECT
4806527170488,PLAY PETS  SHAMPOO - COTTON FRESH 4000ML,SHAMPOO,PIECES,1,700,700.00,820,,,TML
4806527170501,PLAY PETS  SHAMPOO - LAVENDER BREEZE 4000ML,SHAMPOO,PIECES,1,700,700.00,820,,,TML
66224846,POOP BAG 3S FOR DOG & CAT,SUPPLY AND ACCESSORIES,PIECES,17,340,20,70,,,
43887422,PORTABLE BALL (RAINBOW COTTON ROPE PET TOY) ,SUPPLY AND ACCESSORIES,PIECES,1,35,35.00,100,,,PET & HOME PH
16645776,PORTABLE PET FEEDING BOTTLE 300ML,SUPPLY AND ACCESSORIES,PIECES,1,60,60,120,,,
94370638,PORTABLE PET FEEDING BOWL 500ML,SUPPLY AND ACCESSORIES,PIECES,2,140,70,140,,,
56140354,PORTABLE WATER FEEDER FOR TRAVELLING - BLUE,SUPPLY AND ACCESSORIES,PIECES,2,148,74,300,,,
31386678,PORTABLE WATER FEEDER FOR TRAVELLING - PINK,SUPPLY AND ACCESSORIES,PIECES,2,148,74,300,,,
38795459,PRECIOUS SCENT PET COLOGNE - MYSTIC SCENT,SUPPLY AND ACCESSORIES,PIECES,1,130,130.00,155,,,TML
49985887,PRECIOUS SCENT PET COLOGNE - PURPLE DEW,SUPPLY AND ACCESSORIES,PIECES,1,130,130.00,155,,,TML
4806529490065,PREDNISONE 10MG/5ML SYRUP - CORT,CLINIC/LAB/MEDS,PIECES,10,650,65.00,250,,1 Nov 2026,PRIMECARE PHARMACEUTICAL DISTRIBUTORS
86203197,PREDNISONE 10MG/5ML SYRUP - CORT (ARB PHARMA),CLINIC/LAB/MEDS,PIECES,10,750,75.00,250,,1 Aug 2027,ARC PHARMACEUTICAL
4806524140835,PREDNISONE 5MG TABLET - DERPSON ,CLINIC/LAB/MEDS,PIECES,1000,550,0.55,10,,1 Jun 2026,PRIMECARE PHARMACEUTICAL DISTRIBUTORS
4806504265503,PREDNISOLONE 15MG/5ML SYRUP - IMPRESOL (I-PROTECT),CLINIC/LAB/MEDS,PIECES,,1750,175.00,320,,1 May 2028,I-PROTECT
4806504265503,PREDNISOLONE 15MG/5ML SYRUP - IMPRESOL (I-PROTECT),CLINIC/LAB/MEDS,PIECES,20,5100,195.00,350,,1 Oct 2028,I-PROTECT
4064951004766,PREVICOX DOG 60 TABS - PER BOTTLE,CLINIC/LAB/MEDS,BOTTLE,10,1749,"1,749.00",2700,,1 Oct 2027,NUVETUS
39987983,PREVICOX DOG 60 TABS - PER TABLET,CLINIC/LAB/MEDS,PIECES,600,29.15,29.15,50,,1 Oct 2027,NUVETUS
57618906,PRIMERA CARE PET COLOGNE - BUBBLE GUM,SUPPLY AND ACCESSORIES,PIECES,,,172.00,280,,,PET717
91800916,PRIMERA CARE PET COLOGNE - BUBBLE GUM,SUPPLY AND ACCESSORIES,PIECES,,,169.00,280,,15 May 2028,PETSNEY
29360635,PRIMERA CARE PET COLOGNE- CUCUMBER MELON,SUPPLY AND ACCESSORIES,PIECES,,,172.00,280,,,PET717
49897296,PRIMERA CARE PET COLOGNE - LAVENDER,SUPPLY AND ACCESSORIES,PIECES,,,172.00,280,,,PET717
95000848,PRIMERA CARE PET COLOGNE - PEPPERMINT,SUPPLY AND ACCESSORIES,PIECES,2,348,174.00,280,,22 Jun 2027,PET717
80852025,PRIMERA CARE PET COLOGNE - STRAWBERRY,SUPPLY AND ACCESSORIES,PIECES,2,348,174.00,280,,17 May 2028,PET717
99528911,PRIMERA CARE PET COLOGNE - STRAWBERRY (PETSNEY),SUPPLY AND ACCESSORIES,PIECES,,,169.00,280,,17 May 2028,PETSNEY
81676095,PRO HEART INJECTION 11KG - 15KG ,CLINIC/LAB/MEDS,SERVICING,,1384.224,"1,384.22",3500,,,NUVETUS
72571972,PRO HEART INJECTION 16KG - 20KG,CLINIC/LAB/MEDS,SERVICING,,1730.28,"1,730.28",4500,,,NUVETUS
63241037,PRO HEART INJECTION 21KG - 25KG,CLINIC/LAB/MEDS,SERVICING,,2249.364,"2,249.36",5500,,,NUVETUS
58707173,PRO HEART INJECTION 26KG - 30KG ,CLINIC/LAB/MEDS,SERVICING,,3114.504,"3,114.50",6500,,,NUVETUS
18648812,PRO HEART INJECTION 5KG BELOW,CLINIC/LAB/MEDS,SERVICING,,432.57,432.57,1500,,,NUVETUS
60733634,PRO HEART INJECTION 6KG - 10KG ,CLINIC/LAB/MEDS,SERVICING,,865.14,865.14,2500,,,NUVETUS
42286486,PROXANTEL  - DEWORMER PER TAB ,CLINIC/LAB/MEDS,PIECES,100,4276,42.76,200,,1 Oct 2027,
91253569,PET DEFENSE PROBIOTIC FOR DOGS/CATS POWDER 100G,CLINIC/LAB/MEDS,PIECES,2,600,300,450,,1 May 2027,ZEEE ZEEX VET PET CARE SERVICE
8850125072831,PURINA FRISKIES ADULT 400G - SURFIN FAVOURIES,DRY CAT FOOD,PIECES,2,338,169,195,,05/25/2026,
8850125072855,PURINA FRISKIES KITTEN 400G - KITTEN DISCOVERIES,DRY CAT FOOD,PIECES,2,338,169,195,,06/23/2026,
9003579309407,RC CARDIAC DOG 410G,PRESCRIPTION DIET,PIECES,12,2700,225.00,299,,8/26/2026,NUVETUS
9003579309445,RC GASTROINTESTINAL DOG 400G,PRESCRIPTION DIET,PIECES,12,2700,225.00,299,,7/25/2026,NUVETUS
9003579309469,RC HEPATIC DOG 420G,PRESCRIPTION DIET,PIECES,12,2820,235.00,299,,7 Aug 2026,NUVETUS
9003579307717,RC RECOVERY DIET 195G,PRESCRIPTION DIET,PIECES,12,2460,205.00,290,,9/24/2026,NUVETUS
17271936,RC RECOVERY DIET 195G (SSAC),PRESCRIPTION DIET,PIECES,12,2436,203.00,290,,20 Aug 2027,SOUTH SIDE ANIMAL CLINIC
9003579000748,RC RENAL DOG 410G,PRESCRIPTION DIET,PIECES,12,2820,235.00,290,,10 Sep 2026,NUVETUS
79667180,RC RENAL WITH FISH POUCH,PRESCRIPTION DIET,PIECES,12,1440,120.00,170,,10/25/2026,NUVETUS
9003579000366,RC URINARY CARE POUCH ,PRESCRIPTION DIET,PIECES,12,840,70.00,95,,11/24/2026,NUVETUS
77975546,RC URINARY CARE POUCH (ROYAL CANIN),PRESCRIPTION DIET,PIECES,,957,79.75,105,,16 Jul 2027,ROYAL CANIN
